ds,yhat,yhat_lower,yhat_upper
2016-09-15,-5811.63687754099,-18997.971685229226,8431.579268328804
2016-10-03,-4194.389005529718,-18603.493899890265,8149.037842364265
2016-10-04,-3839.438798896125,-16960.19186972265,8709.772631658258
2016-10-05,-2659.8125576355515,-15115.068635500715,10486.611327573688
2016-10-06,-2944.679906992408,-16420.890368450026,9865.263183047691
2016-10-07,-3136.6664570286393,-15691.237018686737,10815.747348836536
2016-10-08,-7454.950139421604,-20181.677142772256,5606.854565913433
2016-10-09,-3978.00909985021,-17211.29166778893,9404.700067454172
2016-10-10,7705.735848697972,-4832.024821687442,20933.985414088875
2016-12-23,6540.122532767797,-7829.511335646503,18583.782043286556
2017-01-05,9419.54540240444,-3805.821109033735,22623.67852526927
2017-01-06,8201.529755869975,-5251.607735880768,20667.595508115453
2017-01-07,2649.0526163522663,-10816.234875989372,15756.058087634518
2017-01-08,4679.449508334095,-8558.522092913432,17553.536992322075
2017-01-09,14706.360171854574,1916.6177289355599,28127.324792547297
2017-01-10,14368.623457625434,420.9358646522489,27918.341619707662
2017-01-11,14557.284231534151,1911.8166023948272,27803.46306608702
2017-01-12,12979.957653228994,-232.56482018987458,25615.633611553643
2017-01-13,11198.35563475058,-2657.6992671863463,24115.718890706572
2017-01-14,5005.036330355497,-8467.29825695857,16645.755103337895
2017-01-15,6340.30793754092,-6858.268584216726,20281.3093601135
2017-01-16,15738.01936751106,3235.6133270353416,28372.504486164944
2017-01-17,14762.936875044852,1818.1953258342055,27495.428665043502
2017-01-18,14328.051265052009,1910.6078818704684,28349.2429966465
2017-01-19,12161.42590613042,-771.6227526197398,24637.013340415182
2017-01-20,9843.229568057279,-2397.6305658155934,22376.39081066137
2017-01-21,3182.0619256099217,-9778.631449201102,15876.970257751227
2017-01-22,4131.512880285814,-10404.217236857749,15761.525867227334
2017-01-23,13138.73066022336,-636.0713237056575,26752.614494518424
2017-01-24,11872.527955998612,-631.7125164269258,24820.424643331207
2017-01-25,11249.722350767703,-2544.0185415736073,24493.777860928592
2017-01-26,8998.971381895211,-4111.973312828463,22434.84083627461
2017-01-27,6697.917880312989,-6520.642580493534,20201.880030291795
2017-01-28,149.7129197137001,-12383.930011857561,12945.193047896519
2017-01-29,1299.8496815766139,-11839.707786104133,14363.217487272108
2017-01-30,10585.073335351037,-3298.3303565855203,23518.31614079535
2017-01-31,9661.88463602622,-2908.4305527146726,23512.39369234092
2017-02-01,9433.320605541676,-4940.664029458542,22282.126556445877
2017-02-02,7613.258802994311,-5615.868303288937,20640.4536054874
2017-02-03,5764.046469533861,-7865.455551253421,18973.4051337974
2017-02-04,-326.4925848147723,-14195.599092842649,12899.816098127625
2017-02-05,1336.012911049911,-11109.155137433807,14179.156085948644
2017-02-06,11110.532703836374,-1342.6890454616407,24346.06824572738
2017-02-07,10640.842606379832,-2183.22242849584,23350.947800242902
2017-02-08,10818.890021502977,-2054.8177483471463,24521.88592149727
2017-02-09,9349.390259154992,-3067.019915750033,21547.85389304701
2017-02-10,7787.680586916684,-5799.043207011838,22123.646560092406
2017-02-11,1916.8797780726381,-10360.052124952846,14422.25990499478
2017-02-12,3665.269451694645,-9405.968998400383,17058.11153037556
2017-02-13,13455.648296469888,1565.5105032464444,26887.353927059394
2017-02-14,12934.166227025245,-14.248180705607329,25607.87644358329
2017-02-15,12997.314788530688,-47.944479384460166,25848.798223681362
2017-02-16,11356.317005157975,-641.3613719172579,24265.31935724369
2017-02-17,9574.718416996671,-4426.463489209218,23349.763220836216
2017-02-18,3445.23631564696,-9998.944350628599,16219.245953362988
2017-02-19,4906.793969615232,-8223.769579780068,18273.268672530965
2017-02-20,14393.502344024746,1115.2625133700294,28392.27432437151
2017-02-21,13563.108337843401,-235.14382999317968,26215.54935399228
2017-02-22,13323.598021688907,-667.0223891146754,25956.16315060288
2017-02-23,11397.210066321733,-2035.0662822499055,25203.969001962847
2017-02-24,9357.672569995277,-2232.7284274918957,22195.324752770444
2017-02-25,3068.203355117874,-9771.787135602262,15658.502878654846
2017-02-26,4413.847635949007,-8752.664338303253,17672.19314879468
2017-02-27,13834.648180188535,-176.81509394893794,27068.971438087083
2017-02-28,12992.448687689508,-66.48523468191289,26012.288326371687
2017-03-01,12797.385692261229,-23.216788734725895,25213.16575256287
2017-03-02,10971.854286256244,-2397.900082493685,23602.359678546207
2017-03-03,9087.761465366497,-4707.420396032349,22024.073168493716
2017-03-04,2943.1333154006534,-9938.639478769477,16141.329416853248
2017-03-05,4479.008966363652,-9048.082777504413,16684.34708222486
2017-03-06,14128.38673477911,711.3984973724089,27162.81094304492
2017-03-07,13544.741131968598,1017.4929384776354,25884.469836661712
2017-03-08,13628.79567337145,536.4640251272142,26240.709504397342
2017-03-09,12092.800077478289,-917.8517286575724,25491.123806595504
2017-03-10,10498.115650907961,-2974.330357813078,23989.703073762466
2017-03-11,4632.164568738639,-9190.550439508695,17443.96405686589
2017-03-12,6425.6652747887,-5995.467230593466,19000.144003888807
2017-03-13,16301.908862810707,2846.468173372727,29098.168356672217
2017-03-14,15905.58501487954,2309.126737221069,29804.407567052695
2017-03-15,16129.83309109411,2514.8673272085284,30017.023203197255
2017-03-16,14680.75865392448,1791.5774287384515,27442.636338937853
2017-03-17,13151.919780828492,953.7812239340493,27080.684802055424
2017-03-18,7291.295387720613,-5727.3088768646285,20265.212971017474
2017-03-19,9028.729727239916,-4058.637849992322,21966.766191162493
2017-03-20,18788.529860599934,5282.806746499797,32615.31303775134
2017-03-21,18218.262193189912,5731.6521028946745,31884.708150673345
2017-03-22,18215.71743361452,5429.158877637001,31761.822175778452
2017-03-23,16493.287323315326,3800.083844176602,30012.911832741716
2017-03-24,14615.554568845007,1127.0614200001676,28642.240575293654
2017-03-25,8376.152239011797,-5224.600452644854,21378.161628464648
2017-03-26,9714.818275773141,-3181.652519917079,22640.981392752696
2017-03-27,19066.406139157058,7239.56042506733,32222.964928841455
2017-03-28,18089.36884405195,4739.948494380257,31081.592303219255
2017-03-29,17692.402894203326,5497.812085190017,31464.528361744608
2017-03-30,15598.505186271006,2399.744812848447,28042.38479606243
2017-03-31,13382.25390999833,473.244575509558,27173.23181875834
2017-04-01,6846.378881487537,-6019.539264889271,19570.349518334948
2017-04-02,7938.555439356196,-5434.999662277457,20430.21327609739
2017-04-03,17100.190463020306,4830.162098924004,30624.546033928116
2017-04-04,15994.72414754238,3548.7997657883902,28199.53275418767
2017-04-05,15534.13907679683,2485.543736540049,28717.492527986622
2017-04-06,13442.933223046697,-101.03884714367688,26936.418877007123
2017-04-07,11322.567843686742,-1825.0936458652836,25076.565523336547
2017-04-08,4946.46628141445,-8546.649786574579,18095.852470430367
2017-04-09,6258.476160656812,-8199.778046789505,18812.46375093354
2017-04-10,15694.58114776101,2458.1417341301853,28967.160620612598
2017-04-11,14911.37146948992,2485.284857597275,27361.70996191987
2017-04-12,14812.761224570571,1455.3432314604129,27512.66949234754
2017-04-13,13114.202448488379,-1076.962325714985,25652.062130094557
2017-04-14,11380.20136686043,-1481.3326783121943,24836.725608556295
2017-04-15,5401.194403172635,-7994.017695927285,18085.80575548981
2017-04-16,7110.708184365601,-5721.9553470242945,20748.9504070454
2017-04-17,16934.560524312034,2953.337100125951,30225.128401277474
2017-04-18,16519.613121173978,2689.818267761888,30124.98845475764
2017-04-19,16760.753696180007,4883.4053747248345,29560.587721182907
2017-04-20,15365.349907099106,2683.2714224946894,27493.45372401971
2017-04-21,13890.973707476423,469.5730374902749,26808.453206375347
2017-04-22,8122.448013577987,-5668.522999540447,20860.42113590819
2017-04-23,9989.135438685082,-2894.5421924140655,22226.61214998385
2017-04-24,19914.222933338886,6962.897158247338,32407.8391084723
2017-04-25,19543.51134601624,6104.185285857611,32417.168496285434
2017-04-26,19772.387366084025,6590.054410607213,33440.28833720929
2017-04-27,18330.94090598756,5570.106025653157,31451.38941032501
2017-04-28,16759.43141980679,4341.063499729693,28607.634947808943
2017-04-29,10847.354350283684,-2490.955554210934,24055.79257629017
2017-04-30,12529.836992044147,77.89457073650273,25595.52309785312
2017-05-01,22236.72133384417,8690.315795775063,35061.56491173489
2017-05-02,21621.130113676558,7978.137821050026,34378.703242054245
2017-05-03,21586.200874305898,8831.10159215851,34831.89582351918
2017-05-04,19849.239177046373,6393.555396385442,33653.737564272364
2017-05-05,17979.09993660098,5113.5943745447885,31712.156374209822
2017-05-06,11772.860154085307,-1670.783486793918,25347.17529552221
2017-05-07,13172.714974854049,49.716420650439346,26888.592788607537
2017-05-08,22614.863437089294,9957.30363486631,35582.592912264416
2017-05-09,21757.905415399797,8441.640882087248,34576.582978928556
2017-05-10,21509.43928237748,8200.639013335745,34619.16171342886
2017-05-11,19590.115055763454,7534.677840542508,32997.68824667464
2017-05-12,17570.954380693714,3428.7778393620156,30825.36018258081
2017-05-13,11250.001727402569,-2003.839631417087,23872.139172025254
2017-05-14,12569.238533741856,-317.482882603506,25534.78955670116
2017-05-15,21963.525184709193,8936.545190585315,34776.53729611521
2017-05-16,21089.08964797348,7941.423612071557,32818.908536460716
2017-05-17,20850.251411942878,7175.721891482301,33006.292007860786
2017-05-18,18963.616141572984,5844.795908571758,32567.991811919852
2017-05-19,16995.576008770826,3079.384816463192,30800.16220832127
2017-05-20,10739.14472282858,-2814.1806856372123,23980.445701640907
2017-05-21,12131.066996915535,-1470.0758605134722,24881.350149554968
2017-05-22,21600.95766358296,8742.681209886998,33997.97384044335
2017-05-23,20799.982540524496,8303.689323302471,33738.18034427009
2017-05-24,20627.76032342954,7292.376203096324,33992.70518854153
2017-05-25,18796.72953268155,5596.075470106058,31777.820716197606
2017-05-26,16869.780988903753,4390.970125704978,30573.82647104307
2017-05-27,10637.209551027621,-2124.5677855135164,24406.291193879504
2017-05-28,12033.906778692684,-1726.3169065057605,25214.130558519355
2017-05-29,21488.550250859113,7352.709971600177,34250.846732889084
2017-05-30,20652.300402292803,7638.845718303412,32655.516378091877
2017-05-31,20425.684106223387,7120.44049784097,33941.047138481714
2017-06-01,18522.91016454177,4724.221707311997,31314.408907087578
2017-06-02,16509.419451732283,3395.566198166526,29881.62204772146
2017-06-03,10178.726768516619,-4452.909881343577,24058.44775935909
2017-06-04,11469.480321594052,-2097.5524683930503,24459.191181232392
2017-06-05,20814.499597730544,6333.825898144702,34730.1880320092
2017-06-06,19869.313063406556,6517.237343778017,32166.811040621844
2017-06-07,19538.85633005717,6134.006789371177,32276.428754403678
2017-06-08,17541.631478332176,5149.677188171144,29577.765058496836
2017-06-09,15447.08724354319,3245.3228117219387,28924.10646147397
2017-06-10,9052.307764378485,-3479.0898076296694,22850.316503533937
2017-06-11,10298.936450405972,-2997.303885883942,22803.116193125134
2017-06-12,19622.100673621913,6774.268261238041,33445.6646606679
2017-06-13,18678.85792124476,5522.944953178799,31403.105431511685
2017-06-14,18374.85187693871,4734.1807756858925,30857.820341369137
2017-06-15,16428.43197027787,3168.7922371590607,29479.056825331176
2017-06-16,14408.046365590944,3070.8257813448295,27202.315531404034
2017-06-17,8108.971263813736,-5613.074971606813,20589.68935595621
2017-06-18,9470.306636388845,-4155.673917359174,22471.210637222543
2017-06-19,18924.001595346243,5402.197503647429,32729.23402375811
2017-06-20,18123.42647968889,5153.958438739557,30594.30684106463
2017-06-21,17970.175626874978,4962.1887848269635,31405.843403584473
2017-06-22,16178.349078225003,3101.934836001034,30116.250048232003
2017-06-23,14312.117283120615,924.796883220702,27323.18349994147
2017-06-24,8162.625352126717,-4960.292608088052,21733.493603884108
2017-06-25,9665.160453609164,-3265.269284654462,23099.312090972464
2017-06-26,19266.694137276885,6072.829829091405,33138.981012788616
2017-06-27,18599.53500346943,5562.423899324513,31864.039226340483
2017-06-28,18563.32071850098,5550.712922433263,29782.124322586664
2017-06-29,16871.041700026428,3350.3087958774163,30991.902384606095
2017-06-30,15086.671699647359,1770.8424051132665,27890.30524650019
2017-07-01,9002.10352953565,-3628.3689825548163,21922.523750036187
2017-07-02,10554.311457328044,-2924.2181415556815,23691.21579189313
2017-07-03,20174.496146009158,6777.405252353181,33547.00160286639
2017-07-04,19516.723435476568,6890.227300087069,32411.252888492323
2017-07-05,19484.736925199664,6458.7982189854065,32021.318155893514
2017-07-06,17796.190545406673,4528.732580024081,30004.92397482731
2017-07-07,16020.105177120873,2247.9900049936305,29298.863021259793
2017-07-08,9953.607968094693,-3112.941612982914,23137.48557161651
2017-07-09,11538.882110056336,-1515.4056868664236,24345.937087116752
2017-07-10,21212.089927715548,7899.652237400668,35097.665169121145
2017-07-11,20631.788068661175,7619.3936936616365,33297.48237409186
2017-07-12,20705.52252567338,7868.670351863693,34066.88571542841
2017-07-13,19153.857480740277,5929.684129761192,32585.740281860686
2017-07-14,17547.649605996063,4489.373340429857,30841.919462219972
2017-07-15,11684.633561248995,-1133.2561285286145,25206.104892319334
2017-07-16,13571.032695938304,67.025727975136,26583.42024797474
2017-07-17,23576.063842105912,10816.778245488722,37227.108220890885
2017-07-18,23354.6580070173,10072.053801982189,35952.75796184484
2017-07-19,23809.28888294215,10942.964578236808,37157.56502802219
2017-07-20,22654.06403742369,10499.392888394133,36428.29321291841
2017-07-21,21452.11050431539,7431.419348282954,34939.324747994935
2017-07-22,15992.318904661955,3400.929917586882,29872.921403631706
2017-07-23,18206.377056296165,5972.305035146446,31645.821205168493
2017-07-24,28517.856661692,16084.009878220737,41576.208079341144
2017-07-25,28570.870055980587,15271.802247822881,42587.40353984319
2017-07-26,29256.980379123823,16692.109596160768,42096.589571754695
2017-07-27,28279.612302897192,15003.92926324651,41112.54893597987
2017-07-28,27191.76574315859,12710.636856942545,40115.028638611795
2017-07-29,21773.086972809466,8094.86053813771,34476.332109666364
2017-07-30,23947.21811863807,10878.637904121957,37542.4815479495
2017-07-31,34131.17869354668,21114.053692741527,46605.096771447286
2017-08-01,33964.286551078636,21204.28513231926,47354.77135796738
2017-08-02,34335.2926764737,21706.188882194245,48007.47883707676
2017-08-03,32946.96892739369,20290.481376244607,46982.440135934914
2017-08-04,31353.94433649064,17928.64925228469,43923.14784248599
2017-08-05,25417.849416029334,12049.336373276074,38321.49346826174
2017-08-06,26990.633649442374,13056.030454823773,40303.80791534246
2017-08-07,36497.91193910908,24383.518514235762,50027.49800304665
2017-08-08,35589.74322085209,22673.984544014795,50395.54152333921
2017-08-09,35167.56954555673,23085.10242816567,47704.584753064526
2017-08-10,32948.54809400701,19887.340351317573,45732.17194168228
2017-08-11,30503.07735045665,17509.002229234604,43376.51850838389
2017-08-12,23631.573806421147,10422.977199638222,36395.122520571225
2017-08-13,24281.425313193762,11174.570472718444,37841.268629369675
2017-08-14,32895.88297322759,19425.064107753256,45904.334583669166
2017-08-15,31142.410129043274,17332.290681737923,44543.929277463554
2017-08-16,29939.17670626444,16180.567268993886,43064.609273698625
2017-08-17,27018.954193170986,13003.420055755456,41189.883740477504
2017-08-18,23966.22494173095,10729.943758265143,36833.561602203736
2017-08-19,16593.574312218916,3585.1475857185033,29736.459663485322
2017-08-20,16858.30326175868,3469.9947213416267,29737.84050291116
2017-08-21,25211.03373383009,12588.764077745294,38139.426831407116
2017-08-22,23323.83453629067,10501.837365192107,35693.33233772363
2017-08-23,22116.563466773347,9069.161830205556,35286.43132571908
2017-08-24,19320.68659424433,5329.0536304858615,32102.791529654565
2017-08-25,16516.391952985414,4276.72840572109,29917.4660642166
2017-08-26,9509.067438634022,-4033.921472432069,21678.710014903587
2017-08-27,10246.079712747727,-2753.9700627337243,23102.256685553322
2017-08-28,19165.623071436556,6987.354328965881,32299.477393178615
2017-08-29,17925.160541645484,5187.977361422967,31975.27048727458
2017-08-30,17428.14531835806,4517.763780825974,30117.27138787764
2017-08-31,15388.273871487043,3201.682332092833,27877.758422532228
2017-09-01,13367.076676890778,-472.76862403277624,25957.153434620384
2017-09-02,7150.903737312932,-5222.327419206949,20107.394083467116
2017-09-03,8668.227774785693,-3844.616856602438,22044.733517101853
2017-09-04,18339.01973160237,4993.322011966848,31339.011736760425
2017-09-05,17803.7040012679,4549.498941220094,30927.0533990737
2017-09-06,17950.366870816408,5316.799676245978,30748.45152589123
2017-09-07,16479.455395441346,4020.9993615234757,29825.675486424556
2017-09-08,14941.759499203392,2054.4022972582266,28752.57362709212
2017-09-09,9115.722643605124,-4232.549045702104,22092.872381184614
2017-09-10,10924.993812626322,-2519.1864676023124,24509.440061289442
2017-09-11,20787.96732299876,8044.964683752106,34451.66033311432
2017-09-12,20346.812016347347,6252.445085876805,33492.55435470852
2017-09-13,20494.65991235157,7672.348267335695,33587.16499431906
2017-09-14,18940.19073613408,5374.6239975662875,32404.36131896812
2017-09-15,17245.406948682306,4143.342001653948,30826.115960667536
2017-09-16,11202.649160176617,-2214.2508958062112,24410.681640389455
2017-09-17,12751.77160162232,292.93554916727953,25837.845586680305
2017-09-18,22329.233689718596,9220.059740879396,35864.11153521268
2017-09-19,21596.62075897753,9479.319162392705,34933.7369416608
2017-09-20,21467.277479051383,7217.434606033097,34114.20441330187
2017-09-21,19670.305299248,6571.262768150125,32309.54326972465
2017-09-22,17787.734592395864,3645.676924424227,30154.174943558417
2017-09-23,11630.93802294047,-1728.1105989203606,24322.1329845642
2017-09-24,13157.221826832476,166.4760218224912,26609.713294728746
2017-09-25,22818.36757085962,9880.651365552238,35552.31520957305
2017-09-26,22288.653424808537,10277.006924575062,34488.373402221325
2017-09-27,22491.05316877784,9425.049481597953,35773.22420751157
2017-09-28,21160.877377969577,7487.598823566919,33452.9239125347
2017-09-29,19882.678554911952,6688.826315540179,32927.17831857119
2017-09-30,14466.495495495757,638.7916617088612,27284.583203665246
2017-10-01,16864.379728564807,3379.829304836209,30377.046526350954
2017-10-02,27518.979937719796,14582.34416164731,41215.97066154205
2017-10-03,28091.71380067911,14737.180021414943,41025.07221948686
2017-10-04,29489.222887128453,16626.218902426728,42653.687121040166
2017-10-05,29427.369500111443,16291.854538434727,43540.325826042936
2017-10-06,29468.58902312463,15960.625781227765,41253.47073847247
2017-10-07,25398.661781710332,12978.058971783368,38338.509591610025
2017-10-08,29143.834220141878,14953.456058890679,41488.53442886311
2017-10-09,41120.04981012018,27963.983048664017,54162.11182637799
2017-10-10,42961.80220540803,30071.046896491975,55963.00267752846
2017-10-11,45549.28817664709,31564.80233380495,58650.46542489078
2017-10-12,46573.10046484695,33020.00251411081,59454.63710950497
2017-10-13,47572.25503425015,35241.40910122281,60875.14008864837
2017-10-14,44311.598456133564,30587.19929346887,57382.04017335486
2017-10-15,48699.50723167499,35592.745837752285,61933.238631432534
2017-10-16,61137.623291725,47732.75870153549,74259.84533205527
2017-10-17,63250.12366386417,50236.37019037089,75084.54059492405
2017-10-18,65911.18959255784,52668.86607956443,79433.08475890168
2017-10-19,66809.90560639394,53962.59494133971,79986.98067665004
2017-10-20,67488.37625929689,54490.636419589646,80324.82320130515
2017-10-21,63719.1026244354,50619.06175220479,76728.27377883518
2017-10-22,67422.52992497773,54118.986870963665,80025.92535508344
2017-10-23,79016.51338283403,65392.402008467274,92013.39101750132
2017-10-24,80145.20633626643,67650.02961473262,93316.17217394369
2017-10-25,81706.04500404984,68989.00012040965,94609.82004297183
2017-10-26,81414.07262265807,67684.11633235376,95162.47913786344
2017-10-27,80839.40475027994,66579.70872231622,94254.95355684214
2017-10-28,75783.89501346473,63738.37520480645,89016.80896388183
2017-10-29,78197.93089833591,64380.13313539724,92204.71316165745
2017-10-30,88529.12642077797,74575.37321536071,101265.04579571141
2017-10-31,88450.43615630161,74642.88815588136,101363.23748074053
2017-11-01,88886.38565995274,75008.16559355892,102665.77386462614
2017-11-02,87576.68098929341,74049.51217887634,100322.11127824128
2017-11-03,86113.01889644554,72710.72700235568,98746.82736129963
2017-11-04,80315.17432682359,67042.78622340453,93617.13462959384
2017-11-05,82147.31095731856,68900.64365167618,95306.57843380941
2017-11-06,92066.2950674441,78195.9380790965,104827.84646964492
2017-11-07,91749.54796748568,78650.72501393183,104549.61717305657
2017-11-08,92121.13969080025,78380.61391937389,103835.845037849
2017-11-09,90915.39105115288,77863.51216900951,103746.51738286731
2017-11-10,89713.80659657046,76891.3996402179,103195.89746755034
2017-11-11,84321.41259805977,71673.16251634846,97735.29896765319
2017-11-12,86683.43989488267,73681.04872263335,99943.07827175586
2017-11-13,97234.12271009479,84165.09075768449,110795.00892716977
2017-11-14,97625.13617868026,84654.51308351339,110495.20733200229
2017-11-15,98752.36170089067,84307.74156998347,111445.63688161017
2017-11-16,98320.22728229838,84967.23078144582,111249.47369518313
2017-11-17,97879.42893343348,84385.44120983944,110626.3585928748
2017-11-18,93204.08542356518,80673.82408779848,105809.84149391994
2017-11-19,96209.24514811423,83717.44365355647,109065.08188342837
2017-11-20,107300.49463602019,93737.62321689542,120142.24725543939
2017-11-21,108103.1704371628,95680.00500993931,121494.30305475071
2017-11-22,109489.84177789548,96204.07024578578,123373.66315368502
2017-11-23,109145.29486816334,95585.8869427555,121966.9126222281
2017-11-24,108604.80523463682,94895.8292323735,122275.48825967897
2017-11-25,103631.73708340843,90062.43900682722,116634.928690687
2017-11-26,106135.37633534613,92073.52207131727,118956.80474837063
2017-11-27,116520.73811010885,103406.65571444678,129690.0470161178
2017-11-28,116417.84497850321,104117.72597259087,129584.8411947575
2017-11-29,116709.14142713291,103817.88175451169,128659.78287118122
2017-11-30,115094.27699870948,102233.71220435276,127935.82989361037
2017-12-01,113128.04954459192,100007.11041040377,125883.1608372069
2017-12-02,106597.55599891802,93070.30595271106,120080.28811883561
